Ticker,Description,Last,Volume,Market Capitalization,Sector,Industry,Exchange
SHG,SKYLIGHT HEALTH GROUP INC,1.22,255796,214722000,Technology Services,Data Processing Services,TSXV
SIA,SIENNA SENIOR LIVING INC,14.75,209596,997540000,Health Services,Hospital/Nursing Management,TSX
SIC,SOKOMAN MINERALS CORP,0.36,413601,52886300,Non-Energy Minerals,Steel,TSXV
SIL,SILVERCREST METALS INC,10.69,170366,1580370000,Non-Energy Minerals,Precious Metals,TSX
SIZE,MAJOR PRECIOUS MET,0.415,197000,87175900,Non-Energy Minerals,Other Metals/Minerals,CSE
SJ,STELLA JONES INC,51.91,288766,3295460000,Non-Energy Minerals,Forest Products,TSX
SKE,SKEENA RESOURCES LIMITED,3.45,848382,808101000,Non-Energy Minerals,Precious Metals,TSX
SLL,STANDARD LITHIUM LTD,3.61,154782,447114000,Process Industries,Chemicals: Agricultural,TSXV
SLNG,SLANG WORLDWIDE IN,0.35,829573,112868000,Health Technology,Pharmaceuticals: Other,CSE
SLS,SOLARIS RESOURCES INC,9.25,292817,765089000,Non-Energy Minerals,Other Metals/Minerals,TSX
SLVR,SILVER TIGER METALS INC,0.63,434535,134660000,Non-Energy Minerals,Other Metals/Minerals,TSXV
SMU.UN,SUMMIT INDUSTRIAL INCOME REIT,14.81,318054,2543400000,Finance,Real Estate Investment Trusts,TSX
SNC,SNC-LAVALIN SV,27.18,348731,4703090000,Industrial Services,Engineering & Construction,TSX
SOL,SOL GLOBAL INVESTM,4.43,431148,250783000,Commercial Services,Miscellaneous Commercial Services,CSE
SOLR,SOLAR ALLIANCE ENERGY INC,0.345,387019,82180400,Industrial Services,Engineering & Construction,TSXV
SONA,SONA NANOTECH INC,1.73,147467,110707000,Non-Energy Minerals,Other Metals/Minerals,CSE
SOY,"SUNOPTA, INC.",19.4,184164,1989740000,Consumer Non-Durables,Food: Specialty/Candy,TSX
SPA,SPANISH MOUNTAIN GOLD LTD,0.265,258920,64429000,Non-Energy Minerals,Precious Metals,TSXV
SPB,SUPERIOR PLUS CORP.,14.31,293983,2536770000,Distribution Services,Wholesale Distributors,TSX
SRU.UN,SMARTCENTRES REIT,27.89,330626,4780400000,Finance,Real Estate Investment Trusts,TSX
SSL,SANDSTORM GOLD LTD,9.21,149281,1835380000,Non-Energy Minerals,Precious Metals,TSX
SSRM,SSR MINING INC,19.22,604584,4326270000,Non-Energy Minerals,Precious Metals,TSX
SSV,SOUTHERN SILVER EXPLORATION CORP.,0.4,218148,100386000,Non-Energy Minerals,Precious Metals,TSXV
STEM,STEM HLDGS INC,0.67,251360,128675885.7,Process Industries,Agricultural Commodities/Milling,CSE
STLC,STELCO HOLDINGS INC,30.66,501737,2625020000,Non-Energy Minerals,Steel,TSX
SURG,SURGE COPPER CORP,0.4,934099,54069900,Non-Energy Minerals,Other Metals/Minerals,TSXV
SVA,SERNOVA CORP.,1.52,312470,401177000,Health Technology,Medical Specialties,TSXV
SVE,SILVER ONE RESOURCES INC,0.72,262910,148983000,Miscellaneous,Miscellaneous,TSXV
SVI,STORAGEVAULT CANADA INC.,4.52,253061,1629660000,Transportation,Other Transportation,TSXV
SVM,SILVERCORP METALS INC.,6.6,388217,1185420000,Non-Energy Minerals,Precious Metals,TSX
SX,ST-GEORGES ECO-MIN,0.35,1574263,62250300,Non-Energy Minerals,Other Metals/Minerals,CSE
SYH,SKYHARBOUR RESOURCES LTD.,0.45,458354,50461800,Non-Energy Minerals,Other Metals/Minerals,TSXV
SYZ,SYLOGIST LTD,15.75,106639,369456000,Technology Services,Packaged Software,TSX
TA,TRANSALTA CORPORATION,12.39,352712,3349250000,Utilities,Electric Utilities,TSX
TAAL,TAAL DISTRIBUTED I,4.55,170285,106724000,Technology Services,Data Processing Services,CSE
TAAT,TAAT LIFESTYLE & W,3.01,287657,245194000,Non-Energy Minerals,Other Metals/Minerals,CSE
TBRD,THUNDERBIRD ENTERTAINMENT GROUP INC,5.3,128913,244642000,Consumer Services,Movies/Entertainment,TSXV
TBX,TURMALINA METALS CORP,0.94,273937,50754800,Non-Energy Minerals,Precious Metals,TSXV
TCN,TRICON RESIDENTIAL INC,12.56,357048,2470840000,Finance,Real Estate Development,TSX
TCW,TRICAN WELL,2.01,1354976,510382000,Industrial Services,Oilfield Services/Equipment,TSX
TECX,TECHX TECHNOLOGIES,1.25,3417200,84928800,Technology Services,Data Processing Services,CSE
TER,TERRASCEND CORP,13.22,213758,1799220000,Process Industries,Agricultural Commodities/Milling,CSE
TEV,TERVITA CORPORATION,5.32,149222,555144000,Industrial Services,Environmental Services,TSX
TGL,TRANSGLOBE ENERGY CORP,1.98,112557,134928000,Energy Minerals,Oil & Gas Production,TSX
TGOD,THE GREEN ORGANIC DUTCHMAN HOLDINGS LTD,0.315,1561944,121150000,Process Industries,Agricultural Commodities/Milling,TSX
TH,THERATECHNOLOGIES,4.56,247929,454192000,Health Technology,Pharmaceuticals: Major,TSX
THRM,THERMA BRIGHT INC,0.355,3075857,84188400,Health Technology,Pharmaceuticals: Other,TSXV
TILT,TILT HOLDINGS INC,0.7,220617,248795000,Health Technology,Pharmaceuticals: Other,CSE
TIUM.U,CANSORTIUM INC,0.88,307924,105007642.335,Process Industries,Agricultural Commodities/Milling,CSE
TKO,TASEKO MINES LTD.,2.24,446738,608702000,Non-Energy Minerals,Precious Metals,TSX
TLO,TALON METALS CORP.,0.67,253089,405834000,Non-Energy Minerals,Precious Metals,TSX
TLT,THERALASE TECHNOLOGIES INC.,0.27,122030,55154500,Health Technology,Medical Specialties,TSXV
